"name","description","page"
"alyrata_eg_homolog_chrom_end","Arabidopsis lyrata chromosome/scaffold end (bp)","homologs"
"alyrata_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"alyrata_eg_homolog_subtype","Last common ancestor with Arabidopsis lyrata","homologs"
"alyrata_eg_homolog_orthology_type","Arabidopsis lyrata homology type","homologs"
"alyrata_eg_homolog_perc_id","%id. target Arabidopsis lyrata gene identical to query gene","homologs"
"alyrata_eg_homolog_perc_id_r1","%id. query gene identical to target Arabidopsis lyrata gene","homologs"
"alyrata_eg_homolog_orthology_confidence","Arabidopsis lyrata orthology confidence [0 low, 1 high]","homologs"
"athaliana_eg_homolog_ensembl_gene","Arabidopsis thaliana gene stable ID","homologs"
"athaliana_eg_homolog_associated_gene_name","Arabidopsis thaliana gene name","homologs"
"athaliana_eg_homolog_ensembl_peptide","Arabidopsis thaliana protein or transcript stable ID","homologs"
"athaliana_eg_homolog_chromosome","Arabidopsis thaliana chromosome/scaffold name","homologs"
"athaliana_eg_homolog_chrom_start","Arabidopsis thaliana chromosome/scaffold start (bp)","homologs"
"athaliana_eg_homolog_chrom_end","Arabidopsis thaliana chromosome/scaffold end (bp)","homologs"
"athaliana_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"athaliana_eg_homolog_subtype","Last common ancestor with Arabidopsis thaliana","homologs"
"athaliana_eg_homolog_orthology_type","Arabidopsis thaliana homology type","homologs"
"athaliana_eg_homolog_perc_id","%id. target Arabidopsis thaliana gene identical to query gene","homologs"
"athaliana_eg_homolog_perc_id_r1","%id. query gene identical to target Arabidopsis thaliana gene","homologs"
"athaliana_eg_homolog_wga_coverage","Arabidopsis thaliana Whole-genome alignment coverage","homologs"
"athaliana_eg_homolog_orthology_confidence","Arabidopsis thaliana orthology confidence [0 low, 1 high]","homologs"
"aalpina_eg_homolog_ensembl_gene","Arabis alpina gene stable ID","homologs"
"aalpina_eg_homolog_associated_gene_name","Arabis alpina gene name","homologs"
"aalpina_eg_homolog_ensembl_peptide","Arabis alpina protein or transcript stable ID","homologs"
"aalpina_eg_homolog_chromosome","Arabis alpina chromosome/scaffold name","homologs"
"aalpina_eg_homolog_chrom_start","Arabis alpina chromosome/scaffold start (bp)","homologs"
"aalpina_eg_homolog_chrom_end","Arabis alpina chromosome/scaffold end (bp)","homologs"
"aalpina_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"aalpina_eg_homolog_subtype","Last common ancestor with Arabis alpina","homologs"
"aalpina_eg_homolog_orthology_type","Arabis alpina homology type","homologs"
"aalpina_eg_homolog_perc_id","%id. target Arabis alpina gene identical to query gene","homologs"
"aalpina_eg_homolog_perc_id_r1","%id. query gene identical to target Arabis alpina gene","homologs"
"aalpina_eg_homolog_orthology_confidence","Arabis alpina orthology confidence [0 low, 1 high]","homologs"
"bvulgaris_eg_homolog_ensembl_gene","Beta vulgaris gene stable ID","homologs"
"bvulgaris_eg_homolog_associated_gene_name","Beta vulgaris gene name","homologs"
"bvulgaris_eg_homolog_ensembl_peptide","Beta vulgaris protein or transcript stable ID","homologs"
"bvulgaris_eg_homolog_chromosome","Beta vulgaris chromosome/scaffold name","homologs"
"bvulgaris_eg_homolog_chrom_start","Beta vulgaris chromosome/scaffold start (bp)","homologs"
"bvulgaris_eg_homolog_chrom_end","Beta vulgaris chromosome/scaffold end (bp)","homologs"
"bvulgaris_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"bvulgaris_eg_homolog_subtype","Last common ancestor with Beta vulgaris","homologs"
"bvulgaris_eg_homolog_orthology_type","Beta vulgaris homology type","homologs"
"bvulgaris_eg_homolog_perc_id","%id. target Beta vulgaris gene identical to query gene","homologs"
"bvulgaris_eg_homolog_perc_id_r1","%id. query gene identical to target Beta vulgaris gene","homologs"
"bvulgaris_eg_homolog_orthology_confidence","Beta vulgaris orthology confidence [0 low, 1 high]","homologs"
"bdistachyon_eg_homolog_ensembl_gene","Brachypodium distachyon gene stable ID","homologs"
"bdistachyon_eg_homolog_associated_gene_name","Brachypodium distachyon gene name","homologs"
"bdistachyon_eg_homolog_ensembl_peptide","Brachypodium distachyon protein or transcript stable ID","homologs"
"bdistachyon_eg_homolog_chromosome","Brachypodium distachyon chromosome/scaffold name","homologs"
"bdistachyon_eg_homolog_chrom_start","Brachypodium distachyon chromosome/scaffold start (bp)","homologs"
"bdistachyon_eg_homolog_chrom_end","Brachypodium distachyon chromosome/scaffold end (bp)","homologs"
"bdistachyon_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"bdistachyon_eg_homolog_subtype","Last common ancestor with Brachypodium distachyon","homologs"
"bdistachyon_eg_homolog_orthology_type","Brachypodium distachyon homology type","homologs"
"bdistachyon_eg_homolog_perc_id","%id. target Brachypodium distachyon gene identical to query gene","homologs"
"bdistachyon_eg_homolog_perc_id_r1","%id. query gene identical to target Brachypodium distachyon gene","homologs"
"bdistachyon_eg_homolog_orthology_confidence","Brachypodium distachyon orthology confidence [0 low, 1 high]","homologs"
"bnapus_eg_homolog_ensembl_gene","Brassica napus gene stable ID","homologs"
"bnapus_eg_homolog_associated_gene_name","Brassica napus gene name","homologs"
"bnapus_eg_homolog_ensembl_peptide","Brassica napus protein or transcript stable ID","homologs"
"bnapus_eg_homolog_chromosome","Brassica napus chromosome/scaffold name","homologs"
"bnapus_eg_homolog_chrom_start","Brassica napus chromosome/scaffold start (bp)","homologs"
"bnapus_eg_homolog_chrom_end","Brassica napus chromosome/scaffold end (bp)","homologs"
"bnapus_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"bnapus_eg_homolog_subtype","Last common ancestor with Brassica napus","homologs"
"bnapus_eg_homolog_orthology_type","Brassica napus homology type","homologs"
"bnapus_eg_homolog_perc_id","%id. target Brassica napus gene identical to query gene","homologs"
"bnapus_eg_homolog_perc_id_r1","%id. query gene identical to target Brassica napus gene","homologs"
"bnapus_eg_homolog_orthology_confidence","Brassica napus orthology confidence [0 low, 1 high]","homologs"
"boleracea_eg_homolog_ensembl_gene","Brassica oleracea gene stable ID","homologs"
"boleracea_eg_homolog_associated_gene_name","Brassica oleracea gene name","homologs"
"boleracea_eg_homolog_ensembl_peptide","Brassica oleracea protein or transcript stable ID","homologs"
"boleracea_eg_homolog_chromosome","Brassica oleracea chromosome/scaffold name","homologs"
"boleracea_eg_homolog_chrom_start","Brassica oleracea chromosome/scaffold start (bp)","homologs"
"boleracea_eg_homolog_chrom_end","Brassica oleracea chromosome/scaffold end (bp)","homologs"
"boleracea_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"boleracea_eg_homolog_subtype","Last common ancestor with Brassica oleracea","homologs"
"boleracea_eg_homolog_orthology_type","Brassica oleracea homology type","homologs"
"boleracea_eg_homolog_perc_id","%id. target Brassica oleracea gene identical to query gene","homologs"
"boleracea_eg_homolog_perc_id_r1","%id. query gene identical to target Brassica oleracea gene","homologs"
"boleracea_eg_homolog_orthology_confidence","Brassica oleracea orthology confidence [0 low, 1 high]","homologs"
"brapa_eg_homolog_ensembl_gene","Brassica rapa gene stable ID","homologs"
"brapa_eg_homolog_associated_gene_name","Brassica rapa gene name","homologs"
"brapa_eg_homolog_ensembl_peptide","Brassica rapa protein or transcript stable ID","homologs"
"brapa_eg_homolog_chromosome","Brassica rapa chromosome/scaffold name","homologs"
"brapa_eg_homolog_chrom_start","Brassica rapa chromosome/scaffold start (bp)","homologs"
"brapa_eg_homolog_chrom_end","Brassica rapa chromosome/scaffold end (bp)","homologs"
"brapa_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"brapa_eg_homolog_subtype","Last common ancestor with Brassica rapa","homologs"
"brapa_eg_homolog_orthology_type","Brassica rapa homology type","homologs"
"brapa_eg_homolog_perc_id","%id. target Brassica rapa gene identical to query gene","homologs"
"brapa_eg_homolog_perc_id_r1","%id. query gene identical to target Brassica rapa gene","homologs"
"brapa_eg_homolog_orthology_confidence","Brassica rapa orthology confidence [0 low, 1 high]","homologs"
"csativa_eg_homolog_ensembl_gene","Camelina sativa gene stable ID","homologs"
"csativa_eg_homolog_associated_gene_name","Camelina sativa gene name","homologs"
"csativa_eg_homolog_ensembl_peptide","Camelina sativa protein or transcript stable ID","homologs"
"csativa_eg_homolog_chromosome","Camelina sativa chromosome/scaffold name","homologs"
"csativa_eg_homolog_chrom_start","Camelina sativa chromosome/scaffold start (bp)","homologs"
"csativa_eg_homolog_chrom_end","Camelina sativa chromosome/scaffold end (bp)","homologs"
"csativa_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"csativa_eg_homolog_subtype","Last common ancestor with Camelina sativa","homologs"
"csativa_eg_homolog_orthology_type","Camelina sativa homology type","homologs"
"csativa_eg_homolog_perc_id","%id. target Camelina sativa gene identical to query gene","homologs"
"csativa_eg_homolog_perc_id_r1","%id. query gene identical to target Camelina sativa gene","homologs"
"csativa_eg_homolog_orthology_confidence","Camelina sativa orthology confidence [0 low, 1 high]","homologs"
"csfemale_eg_homolog_ensembl_gene","Cannabis sativa female gene stable ID","homologs"
"csfemale_eg_homolog_associated_gene_name","Cannabis sativa female gene name","homologs"
"csfemale_eg_homolog_ensembl_peptide","Cannabis sativa female protein or transcript stable ID","homologs"
"csfemale_eg_homolog_chromosome","Cannabis sativa female chromosome/scaffold name","homologs"
"csfemale_eg_homolog_chrom_start","Cannabis sativa female chromosome/scaffold start (bp)","homologs"
"csfemale_eg_homolog_chrom_end","Cannabis sativa female chromosome/scaffold end (bp)","homologs"
"csfemale_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"csfemale_eg_homolog_subtype","Last common ancestor with Cannabis sativa female","homologs"
"csfemale_eg_homolog_orthology_type","Cannabis sativa female homology type","homologs"
"csfemale_eg_homolog_perc_id","%id. target Cannabis sativa female gene identical to query gene","homologs"
"csfemale_eg_homolog_perc_id_r1","%id. query gene identical to target Cannabis sativa female gene","homologs"
"csfemale_eg_homolog_orthology_confidence","Cannabis sativa female orthology confidence [0 low, 1 high]","homologs"
"cannuum_eg_homolog_ensembl_gene","Capsicum annuum gene stable ID","homologs"
"cannuum_eg_homolog_associated_gene_name","Capsicum annuum gene name","homologs"
"cannuum_eg_homolog_ensembl_peptide","Capsicum annuum protein or transcript stable ID","homologs"
"cannuum_eg_homolog_chromosome","Capsicum annuum chromosome/scaffold name","homologs"
"cannuum_eg_homolog_chrom_start","Capsicum annuum chromosome/scaffold start (bp)","homologs"
"cannuum_eg_homolog_chrom_end","Capsicum annuum chromosome/scaffold end (bp)","homologs"
"cannuum_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"cannuum_eg_homolog_subtype","Last common ancestor with Capsicum annuum","homologs"
"cannuum_eg_homolog_orthology_type","Capsicum annuum homology type","homologs"
"cannuum_eg_homolog_perc_id","%id. target Capsicum annuum gene identical to query gene","homologs"
"cannuum_eg_homolog_perc_id_r1","%id. query gene identical to target Capsicum annuum gene","homologs"
"cannuum_eg_homolog_goc_score","Capsicum annuum Gene-order conservation score","homologs"
"cannuum_eg_homolog_wga_coverage","Capsicum annuum Whole-genome alignment coverage","homologs"
"cannuum_eg_homolog_orthology_confidence","Capsicum annuum orthology confidence [0 low, 1 high]","homologs"
"cbraunii_eg_homolog_ensembl_gene","Chara braunii gene stable ID","homologs"
"cbraunii_eg_homolog_associated_gene_name","Chara braunii gene name","homologs"
"cbraunii_eg_homolog_ensembl_peptide","Chara braunii protein or transcript stable ID","homologs"
"cbraunii_eg_homolog_chromosome","Chara braunii chromosome/scaffold name","homologs"
"cbraunii_eg_homolog_chrom_start","Chara braunii chromosome/scaffold start (bp)","homologs"
"cbraunii_eg_homolog_chrom_end","Chara braunii chromosome/scaffold end (bp)","homologs"
"cbraunii_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"cbraunii_eg_homolog_subtype","Last common ancestor with Chara braunii","homologs"
"cbraunii_eg_homolog_orthology_type","Chara braunii homology type","homologs"
"cbraunii_eg_homolog_perc_id","%id. target Chara braunii gene identical to query gene","homologs"
"cbraunii_eg_homolog_perc_id_r1","%id. query gene identical to target Chara braunii gene","homologs"
"cbraunii_eg_homolog_orthology_confidence","Chara braunii orthology confidence [0 low, 1 high]","homologs"
"creinhardtii_eg_homolog_ensembl_gene","Chlamydomonas reinhardtii gene stable ID","homologs"
"creinhardtii_eg_homolog_associated_gene_name","Chlamydomonas reinhardtii gene name","homologs"
"creinhardtii_eg_homolog_ensembl_peptide","Chlamydomonas reinhardtii protein or transcript stable ID","homologs"
"creinhardtii_eg_homolog_chromosome","Chlamydomonas reinhardtii chromosome/scaffold name","homologs"
"creinhardtii_eg_homolog_chrom_start","Chlamydomonas reinhardtii chromosome/scaffold start (bp)","homologs"
"creinhardtii_eg_homolog_chrom_end","Chlamydomonas reinhardtii chromosome/scaffold end (bp)","homologs"
"creinhardtii_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"creinhardtii_eg_homolog_subtype","Last common ancestor with Chlamydomonas reinhardtii","homologs"
"creinhardtii_eg_homolog_orthology_type","Chlamydomonas reinhardtii homology type","homologs"
"creinhardtii_eg_homolog_perc_id","%id. target Chlamydomonas reinhardtii gene identical to query gene","homologs"
"creinhardtii_eg_homolog_perc_id_r1","%id. query gene identical to target Chlamydomonas reinhardtii gene","homologs"
"creinhardtii_eg_homolog_orthology_confidence","Chlamydomonas reinhardtii orthology confidence [0 low, 1 high]","homologs"
"ccrispus_eg_homolog_ensembl_gene","Chondrus crispus gene stable ID","homologs"
"ccrispus_eg_homolog_associated_gene_name","Chondrus crispus gene name","homologs"
"ccrispus_eg_homolog_ensembl_peptide","Chondrus crispus protein or transcript stable ID","homologs"
"ccrispus_eg_homolog_chromosome","Chondrus crispus chromosome/scaffold name","homologs"
"ccrispus_eg_homolog_chrom_start","Chondrus crispus chromosome/scaffold start (bp)","homologs"
"ccrispus_eg_homolog_chrom_end","Chondrus crispus chromosome/scaffold end (bp)","homologs"
"ccrispus_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"ccrispus_eg_homolog_subtype","Last common ancestor with Chondrus crispus","homologs"
"ccrispus_eg_homolog_orthology_type","Chondrus crispus homology type","homologs"
"ccrispus_eg_homolog_perc_id","%id. target Chondrus crispus gene identical to query gene","homologs"
"ccrispus_eg_homolog_perc_id_r1","%id. query gene identical to target Chondrus crispus gene","homologs"
"ccrispus_eg_homolog_orthology_confidence","Chondrus crispus orthology confidence [0 low, 1 high]","homologs"
"clanatus_eg_homolog_ensembl_gene","Citrullus lanatus gene stable ID","homologs"
"clanatus_eg_homolog_associated_gene_name","Citrullus lanatus gene name","homologs"
"clanatus_eg_homolog_ensembl_peptide","Citrullus lanatus protein or transcript stable ID","homologs"
"clanatus_eg_homolog_chromosome","Citrullus lanatus chromosome/scaffold name","homologs"
"clanatus_eg_homolog_chrom_start","Citrullus lanatus chromosome/scaffold start (bp)","homologs"
